split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
3,10,2,0.023101297000831605,0.7793003748175737,0.5669029975517126,0.5487096237096237
3,10,3,0.053366992312063107,0.7777963491182465,0.5691196516231793,0.4933982683982684
3,10,4,0.12328467394420659,0.7748742035930197,0.5702034155727228,0.7128438228438229
3,10,5,0.2848035868435802,0.7755387279347316,0.5690802551412651,0.7342424242424241
3,10,6,0.6579332246575682,0.7733079804640537,0.5706675139774674,0.7572727272727273
3,10,7,1.5199110829529332,0.763501205459607,0.5800256686510504,0.5379720279720279
3,10,8,3.511191734215131,0.7639509479734349,0.5799454256115933,0.661946386946387
3,10,9,8.111308307896872,0.7617079573192294,0.5824143947051016,0.5921328671328672
3,10,10,18.73817422860385,0.7590397798098552,0.5841313671810981,0.7159595959595959
3,10,11,43.287612810830616,0.7582917347974577,0.5846984713645356,0.7232323232323232
3,10,12,100.0,0.7502619765537214,0.5922781718564785,0.6282575757575757
4,2,0,0.0,0.7281105558258165,0.59876731414717,0.4
4,2,1,0.01,0.7281105558258165,0.59876731414717,0.4
4,2,2,0.023101297000831602,0.7281105558258165,0.59876731414717,0.4
4,2,3,0.053366992312063107,0.7281105558258165,0.59876731414717,0.4
4,2,4,0.12328467394420659,0.7281105558258165,0.59876731414717,0.4
4,2,5,0.2848035868435802,0.7281105558258165,0.59876731414717,0.4
4,2,6,0.6579332246575682,0.7281105558258165,0.59876731414717,0.4
4,2,7,1.5199110829529332,0.7324945556086553,0.5944384074983791,1.0
4,2,8,3.511191734215131,0.7324945556086553,0.5944384074983791,1.0
4,2,9,8.111308307896872,0.7063872129130976,0.6088631913397615,0.5999999999999999
4,2,10,18.73817422860385,0.7056967685110378,0.6089456714579277,0.7333333333333333
4,2,11,43.287612810830616,0.7056967685110378,0.6089456714579277,0.7333333333333333
4,2,12,100.0,0.7056967685110378,0.6089456714579277,0.7333333333333333
4,4,0,0.0,0.7592654639930109,0.5813233834955434,0.38476190476190475
4,4,1,0.01,0.7592654639930109,0.5813233834955434,0.38476190476190475
4,4,2,0.023101297000831602,0.7592654639930109,0.5813233834955432,0.38476190476190475
4,4,3,0.053366992312063107,0.7592654639930109,0.5813233835017858,0.38476190476190475
4,4,4,0.12328467394420659,0.7587321815211435,0.5814890905086667,0.42285714285714276
4,4,5,0.2848035868435802,0.7587321815211435,0.5814890906319514,0.42285714285714276
4,4,6,0.6579332246575682,0.7587321815211435,0.5814890898431005,0.42285714285714276
4,4,7,1.5199110829529332,0.7523464458764709,0.586274255029027,0.6571428571428573
4,4,8,3.511191734215131,0.7321578512745013,0.5962536822915504,0.29833333333333334
4,4,9,8.111308307896872,0.7121818640298712,0.6088013250616847,0.6
4,4,10,18.73817422860385,0.7121818640298712,0.6088013250616847,0.6
4,4,11,43.287612810830616,0.7121818640298712,0.6088013250616847,0.6
4,4,12,100.0,0.7121818640298712,0.6088013250616847,0.6
4,6,0,0.0,0.771395707206541,0.5725508153217358,0.4552813852813853
4,6,1,0.01,0.771395707206541,0.5725508153217358,0.4552813852813853
4,6,2,0.023101297000831602,0.771395707206541,0.5725508153217358,0.4552813852813853
4,6,3,0.053366992312063107,0.7736825658752421,0.5692398793782811,0.5504761904761905
4,6,4,0.12328467394420659,0.771755929968333,0.5710277952840794,0.5904761904761905
4,6,5,0.2848035868435802,0.7733038986885313,0.5695892273995669,0.7428571428571429
4,6,6,0.6579332246575682,0.7665927039512643,0.5764998512924253,0.7000000000000001
4,6,7,1.5199110829529332,0.7532148689781488,0.5855246760718392,0.5938095238095239
4,6,8,3.511191734215131,0.7532148689781488,0.5855246760718407,0.5938095238095239
4,6,9,8.111308307896872,0.7410711531908782,0.5952635062160005,0.46845238095238084
4,6,10,18.73817422860385,0.7198735549664578,0.6060635638617106,0.5464285714285715
4,6,11,43.287612810830616,0.7198735549664578,0.6060635638617105,0.5464285714285715
4,6,12,100.0,0.719537106368327,0.6062739610986155,0.5821428571428571
4,8,0,0.0,0.7794509940487798,0.563879880873748,0.5473193473193472
4,8,1,0.01,0.7794509940487798,0.5638798808737471,0.5473193473193472
4,8,2,0.023101297000831602,0.7794509940487798,0.5638798807010278,0.5473193473193472
4,8,3,0.053366992312063107,0.7795638900735135,0.5638016547490466,0.5006060606060605
4,8,4,0.12328467394420659,0.7786384921289737,0.5656488072295497,0.8222222222222222
4,8,5,0.2848035868435802,0.7766705091361338,0.5675951211135809,0.6141666666666665
4,8,6,0.6579332246575682,0.7693587647807207,0.5744950792229526,0.525050505050505
4,8,7,1.5199110829529332,0.7653229303062188,0.577405867703156,0.6111904761904762
4,8,8,3.511191734215131,0.7633343598491587,0.5796816889756089,0.5299206349206349
4,8,9,8.111308307896872,0.7401898768538182,0.5963686065847019,0.36448412698412697
4,8,10,18.73817422860385,0.7401898768538182,0.596368606584707,0.36448412698412697
4,8,11,43.287612810830616,0.7401898768538182,0.596368606584707,0.36448412698412697
4,8,12,100.0,0.7385663709986778,0.6003861222450253,0.691984126984127
4,10,0,0.0,0.7835597925823695,0.56120926445993,0.5106227106227106
4,10,1,0.01,0.784557313085898,0.560387658443225,0.5793872793872794
4,10,2,0.023101297000831602,0.784557313085898,0.5603876579612236,0.5793872793872794
4,10,3,0.053366992312063107,0.7838337787283346,0.5604657256792058,0.6055278055278055
4,10,4,0.12328467394420659,0.7812678256223208,0.5639313601407256,0.6456876456876458
4,10,5,0.2848035868435802,0.7801453394967144,0.5645666461124568,0.8021212121212121
